experiment_id,model_version,draw_boost,favorite_dampening,underdog_boost,market_blend_weight,numerical_adjustment_weight,sample_count,hit_rate,brier,logloss,draw_brier,favorite_wrong_count,overconfident_wrong_count,upset_miss_count
E0048,exp-1.00-0.05-0.00-0.20-1.00,1.0,0.05,0.0,0.2,1.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0217,exp-1.10-0.00-0.00-0.00-0.00,1.1,0.0,0.0,0.0,0.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0218,exp-1.10-0.00-0.00-0.00-0.25,1.1,0.0,0.0,0.0,0.25,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0219,exp-1.10-0.00-0.00-0.00-0.50,1.1,0.0,0.0,0.0,0.5,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0220,exp-1.10-0.00-0.00-0.00-1.00,1.1,0.0,0.0,0.0,1.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0221,exp-1.10-0.00-0.00-0.10-0.00,1.1,0.0,0.0,0.1,0.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0222,exp-1.10-0.00-0.00-0.10-0.25,1.1,0.0,0.0,0.1,0.25,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0223,exp-1.10-0.00-0.00-0.10-0.50,1.1,0.0,0.0,0.1,0.5,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0224,exp-1.10-0.00-0.00-0.10-1.00,1.1,0.0,0.0,0.1,1.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0225,exp-1.10-0.00-0.00-0.20-0.00,1.1,0.0,0.0,0.2,0.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0226,exp-1.10-0.00-0.00-0.20-0.25,1.1,0.0,0.0,0.2,0.25,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0227,exp-1.10-0.00-0.00-0.20-0.50,1.1,0.0,0.0,0.2,0.5,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0228,exp-1.10-0.00-0.00-0.20-1.00,1.1,0.0,0.0,0.2,1.0,4,0.0000,0.5385,0.9081,0.7943,1,0,2
E0145,exp-1.05-0.05-0.00-0.00-0.00,1.05,0.05,0.0,0.0,0.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0146,exp-1.05-0.05-0.00-0.00-0.25,1.05,0.05,0.0,0.0,0.25,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0147,exp-1.05-0.05-0.00-0.00-0.50,1.05,0.05,0.0,0.0,0.5,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0148,exp-1.05-0.05-0.00-0.00-1.00,1.05,0.05,0.0,0.0,1.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0149,exp-1.05-0.05-0.00-0.10-0.00,1.05,0.05,0.0,0.1,0.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0150,exp-1.05-0.05-0.00-0.10-0.25,1.05,0.05,0.0,0.1,0.25,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0151,exp-1.05-0.05-0.00-0.10-0.50,1.05,0.05,0.0,0.1,0.5,4,0.0000,0.5396,0.9116,0.8109,1,0,2
