match_id,date,home_team,away_team,home_team_id,away_team_id,exclusion_reason
2024-10-14_Puerto Rico_Sint Maarten,2024-10-15,Puerto Rico,Sint Maarten,ht_PUR,,away_team_id is None
2024-10-15_Hong Kong_Cambodia,2024-10-16,Hong Kong,Cambodia,,ht_CAM,home_team_id is None
2024-10-15_Belize_Turks and Caicos Islands,2024-10-16,Belize,Turks and Caicos Islands,ht_BLZ,,away_team_id is None
2024-10-15_China_Indonesia,2024-10-16,China,Indonesia,,ht_IDN,home_team_id is None
2024-11-14_Montserrat_Saint Vincent and the Grenadines,2024-11-15,Montserrat,Saint Vincent and the Grenadines,,ht_VIN,home_team_id is None
2024-11-14_El Salvador_Bonaire,2024-11-15,El Salvador,Bonaire,ht_SLV,,away_team_id is None
2024-11-14_Hong Kong_Philippines,2024-11-15,Hong Kong,Philippines,,ht_PHI,home_team_id is None
2024-11-14_Bahrain_China,2024-11-15,Bahrain,China,ht_BHR,,away_team_id is None
2024-11-15_Curaçao_Saint Martin,2024-11-16,Curaçao,Saint Martin,CUW,,away_team_id is None
2024-11-15_Sint Maarten_Haiti,2024-11-16,Sint Maarten,Haiti,,HAI,home_team_id is None
2024-11-15_Eswatini_Guinea-Bissau,2024-11-16,Eswatini,Guinea-Bissau,,ht_GNB,home_team_id is None
2024-11-17_Saint Vincent and the Grenadines_Bonaire,2024-11-18,Saint Vincent and the Grenadines,Bonaire,ht_VIN,,away_team_id is None
2024-11-17_El Salvador_Montserrat,2024-11-18,El Salvador,Montserrat,ht_SLV,,away_team_id is None
2024-11-18_Grenada_Saint Martin,2024-11-19,Grenada,Saint Martin,ht_GRN,,away_team_id is None
2024-11-18_Aruba_Sint Maarten,2024-11-19,Aruba,Sint Maarten,ht_ABW,,away_team_id is None
2024-11-18_Singapore_Taiwan,2024-11-19,Singapore,Taiwan,ht_SIN,,away_team_id is None
2024-11-19_Hong Kong_Mauritius,2024-11-20,Hong Kong,Mauritius,,ht_MRI,home_team_id is None
2024-11-19_China_Japan,2024-11-20,China,Japan,,JPN,home_team_id is None
2024-11-19_Mali_Eswatini,2024-11-20,Mali,Eswatini,ht_MLI,,away_team_id is None
2024-12-08_Hong Kong_Mongolia,2024-12-09,Hong Kong,Mongolia,,ht_MNG,home_team_id is None
2024-12-11_Taiwan_Mongolia,2024-12-12,Taiwan,Mongolia,,ht_MNG,home_team_id is None
2024-12-14_Macau_Guam,2024-12-15,Macau,Guam,,ht_GUM,home_team_id is None
2024-12-17_Hong Kong_Guam,2024-12-18,Hong Kong,Guam,,ht_GUM,home_team_id is None
2025-01-03_Zanzibar_Tanzania,2025-01-04,Zanzibar,Tanzania,,ht_TAN,home_team_id is None
2025-01-06_Zanzibar_Burkina Faso,2025-01-07,Zanzibar,Burkina Faso,,ht_BFA,home_team_id is None
2025-01-10_Zanzibar_Kenya,2025-01-11,Zanzibar,Kenya,,ht_KEN,home_team_id is None
2025-01-13_Zanzibar_Burkina Faso,2025-01-14,Zanzibar,Burkina Faso,,ht_BFA,home_team_id is None
2025-03-19_Eswatini_Cameroon,2025-03-20,Eswatini,Cameroon,,ht_CMR,home_team_id is None
2025-03-20_Saudi Arabia_China,2025-03-21,Saudi Arabia,China,KSA,,away_team_id is None
